UserID,Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video Category,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Watch Time,Self Control,Addiction Level,CurrentActivity,ConnectionType,Watch Hour,Time per Session,Engagement Efficiency,Videos per Session,Video Consumption Ratio,Time of Day
1,56,Male,Pakistan,82812,1,1,Engineer,Rural,Instagram,80,17,Pranks,24,7867,5,26,22,87,3,7,Procrastination,Smartphone,Android,21:00:00,5,5,Commuting,Mobile Data,21,4.71,98.338,1.29,0.325,Night
2,46,Female,Mexico,27999,0,1,Artist,Urban,Instagram,228,14,Pranks,19,5944,6,25,31,46,5,5,Habit,Computer,Android,17:00:00,7,3,At School,Wi-Fi,17,16.29,26.07,2.21,0.11,Evening
3,32,Female,United States,42436,0,1,Engineer,Rural,Facebook,30,6,Vlogs,19,8674,3,9,7,88,6,4,Entertainment,Tablet,Android,14:00:00,8,2,At Home,Mobile Data,14,5.0,289.133,1.17,0.3,Afternoon
4,60,Male,Brazil,62963,1,0,Waiting Staff,Rural,Youtube,101,19,Vlogs,4,2477,2,6,41,93,3,7,Habit,Smartphone,Android,21:00:00,5,5,Commuting,Mobile Data,21,5.32,24.525,2.16,0.059,Night
5,25,Male,Pakistan,22096,0,1,Manager,Urban,Tiktok,136,6,Gaming,19,3093,7,13,21,4,8,2,Boredom,Smartphone,Ios,08:00:00,10,0,At Home,Mobile Data,8,22.67,22.743,3.5,0.096,Morning
6,38,Male,Vietnam,45279,0,0,Driver,Urban,Instagram,89,18,Jokes/Memes,9,8534,5,27,16,38,3,7,Entertainment,Computer,Android,21:00:00,5,5,At Home,Wi-Fi,21,4.94,95.888,0.89,0.303,Night
7,56,Male,India,46201,0,0,Students,Rural,Tiktok,247,5,Vlogs,16,7207,9,22,20,63,8,2,Habit,Smartphone,Android,08:00:00,10,0,At School,Wi-Fi,8,49.4,29.178,4.0,0.089,Morning
8,36,Male,Brazil,39715,0,0,Engineer,Rural,Instagram,191,6,Entertainment,27,9654,3,28,43,29,3,7,Entertainment,Tablet,Android,21:00:00,5,5,At Home,Mobile Data,21,31.83,50.545,7.17,0.147,Night
9,40,Male,United States,49309,0,0,Waiting Staff,Rural,Instagram,34,2,Vlogs,4,9394,8,20,44,19,3,7,Entertainment,Computer,Android,21:00:00,5,5,At Home,Mobile Data,21,17.0,276.294,22.0,0.588,Night
10,28,Other,United States,35078,0,0,Students,Rural,Youtube,165,8,Asmr,6,9813,6,4,47,91,6,4,Boredom,Smartphone,Ios,14:00:00,8,2,At Home,Mobile Data,14,20.62,59.473,5.88,0.024,Afternoon
11,28,Male,Indonesia,76614,1,1,Manager,Rural,Instagram,14,15,Pranks,8,6227,4,2,19,29,5,5,Boredom,Smartphone,Android,17:00:00,7,3,At Home,Mobile Data,17,0.93,444.786,1.27,0.143,Evening
12,41,Other,Philippines,25105,0,0,Labor/Worker,Urban,Tiktok,129,15,Life Hacks,27,3535,9,26,48,35,6,4,Habit,Tablet,Android,14:00:00,8,2,At Home,Wi-Fi,14,8.6,27.403,3.2,0.202,Afternoon
13,53,Male,Japan,22839,0,0,Waiting Staff,Rural,Instagram,286,11,Gaming,29,7004,5,4,32,70,5,5,Habit,Smartphone,Android,17:00:00,7,3,At School,Mobile Data,17,26.0,24.49,2.91,0.014,Evening
14,57,Male,Indonesia,88920,1,1,Waiting Staff,Rural,Facebook,27,1,Vlogs,24,2913,6,8,15,23,6,4,Entertainment,Tablet,Android,14:00:00,8,2,Commuting,Wi-Fi,14,27.0,107.889,15.0,0.296,Afternoon
