UserID,Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video Category,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Watch Time,Self Control,Addiction Level,CurrentActivity,ConnectionType,Watch Hour,Time per Session,Engagement Efficiency,Videos per Session,Video Consumption Ratio,Time of Day,Time per Session_log,Engagement Efficiency_log,Videos per Session_log,Video Consumption Ratio_log
1,1.1128817500082018,Male,Pakistan,0.9815988636091553,1,1,Engineer,Rural,Instagram,-0.8509766054545671,17,Pranks,24,7867,5,26,22,87,3,7,Procrastination,Smartphone,Android,21:00:00,5,5,Commuting,Mobile Data,21,-0.5874943626288757,0.3578878814962102,-0.48774143539636067,0.5546513372392514,Night,-0.8855054069465443,0.30593046423784453,-0.6689257724252718,0.4412513000651211
2,0.37165239739850314,Female,Mexico,-1.32881296345748,0,1,Artist,Urban,Instagram,0.9128042758057741,14,Pranks,19,5944,6,25,31,46,5,5,Habit,Computer,Android,17:00:00,7,3,At School,Wi-Fi,17,-0.2963674492374278,-0.38220365932259304,-0.3578280533955408,-0.2704542659106033,Evening,-0.35149900402429846,-0.48159642166604427,-0.4428991815501596,-0.31533322060686736
3,-0.666068696255075,Female,United States,-0.7202818568338503,0,1,Engineer,Rural,Facebook,-1.446848524799277,6,Vlogs,19,8674,3,9,7,88,6,4,Entertainment,Tablet,Android,14:00:00,8,2,At Home,Mobile Data,14,-0.5802036195473973,2.3118061514154493,-0.5046866591355981,0.4587088252450822,Afternoon,-0.8679854937085186,1.197493705648113,-0.7025647048336595,0.3775516781671948
4,1.4093734910520812,Male,Brazil,0.1449476247525767,1,0,Waiting Staff,Rural,Youtube,-0.600710399329789,19,Vlogs,4,2477,2,6,41,93,3,7,Habit,Smartphone,Android,21:00:00,5,5,Commuting,Mobile Data,21,-0.5721586616643866,-0.3980258964201335,-0.3648885632868897,-0.46617699037870836,Night,-0.8490028569516921,-0.5075408519077789,-0.45395480459938187,-0.6276909376179565
5,-1.184929243081864,Male,Pakistan,-1.5776291387293013,0,1,Manager,Urban,Tiktok,-0.18360005578849206,6,Gaming,19,3093,7,13,21,4,8,2,Boredom,Smartphone,Ios,08:00:00,10,0,At Home,Mobile Data,8,-0.13597110144490293,-0.4162752339656462,-0.17566689819873899,-0.324182072627338,Morning,-0.14614906333570066,-0.5383256982835021,-0.1931805810007734,-0.39183157742334307
6,-0.2213310846892558,Male,Vietnam,-0.600447131050725,0,0,Driver,Urban,Instagram,-0.7437196599725193,18,Jokes/Memes,9,8534,5,27,16,38,3,7,Entertainment,Computer,Android,21:00:00,5,5,At Home,Wi-Fi,21,-0.5817120491504617,0.33279760260367053,-0.544225514527152,0.4702219266843825,Night,-0.871585205994188,0.2872801936620696,-0.7857571411992891,0.38541335992933434
7,1.1128817500082018,Male,India,-0.5615840930021702,0,0,Students,Rural,Tiktok,1.1392356051567638,5,Vlogs,16,7207,9,22,20,63,8,2,Habit,Smartphone,Android,08:00:00,10,0,At School,Wi-Fi,8,0.5360342867203303,-0.3503748483846283,-0.10506179928524992,-0.35104597598570536,Morning,0.4292039565598948,-0.4313597722644928,-0.11100061257203302,-0.43239340605968185
8,-0.36957695521119555,Male,Brazil,-0.8349741849576223,0,0,Engineer,Rural,Instagram,0.4718590554906888,6,Entertainment,27,9654,3,28,43,29,3,7,Entertainment,Tablet,Android,21:00:00,5,5,At Home,Mobile Data,21,0.09431581795627683,-0.1315568936512003,0.3425745278262708,-0.12845934815923296,Night,0.09012934420051191,-0.14105320339283095,0.2945890600695387,-0.13749276928003382
9,-0.07308521416731607,Male,United States,-0.4305794050901219,0,0,Waiting Staff,Rural,Instagram,-1.3991787712517003,2,Vlogs,4,9394,8,20,44,19,3,7,Entertainment,Computer,Android,21:00:00,5,5,At Home,Mobile Data,21,-0.2785176989344979,2.1803228490883804,2.4367217616003565,1.5639665634179107,Night,-0.3264474318168401,1.1569827165093445,1.234518040735754,0.9415554981847454
10,-0.9625604372989545,Other,United States,-1.0304274468135322,0,0,Students,Rural,Youtube,0.16200565743143966,8,Asmr,6,9813,6,4,47,91,6,4,Boredom,Smartphone,Ios,14:00:00,8,2,At Home,Mobile Data,14,-0.18750911288293992,-0.04012586918075314,0.16041337262946898,-0.6004965071705451,Afternoon,-0.20765058069706874,-0.040953116846362776,0.14877629735371534,-0.9175327708116374
11,-0.9625604372989545,Male,Indonesia,0.7203482021938158,1,1,Manager,Rural,Instagram,-1.6375275389895843,15,Pranks,8,6227,4,2,19,29,5,5,Boredom,Smartphone,Android,17:00:00,7,3,At Home,Mobile Data,17,-0.682525427621939,3.905837653644226,-0.4905656393529002,-0.14381015007830006,Evening,-1.1473575508547587,1.5904258538994922,-0.6744542655371248,-0.1552631401398548
12,0.001037721093653793,Other,Philippines,-1.4507973800654168,0,0,Labor/Worker,Urban,Tiktok,-0.26702212449675145,15,Life Hacks,27,3535,9,26,48,35,6,4,Habit,Tablet,Android,14:00:00,8,2,At Home,Wi-Fi,14,-0.4896978433635275,-0.36855249941901935,-0.2180299575468324,0.08261417822793925,Afternoon,-0.6727522647081836,-0.459740475119376,-0.2459388480540474,0.07937865175529965
13,0.8905129442252921,Male,Japan,-1.5463110939678304,0,0,Waiting Staff,Rural,Instagram,1.6040157022456376,11,Gaming,29,7004,5,4,32,70,5,5,Habit,Smartphone,Android,17:00:00,7,3,At School,Mobile Data,17,-0.05225325847482339,-0.3983843289757413,-0.2589809149166561,-0.6388735119682127,Evening,-0.05366796270800879,-0.5081364577757694,-0.29972889816975884,-1.0185269996592987
14,1.1870046852691716,Male,Indonesia,1.2390559529807097,1,1,Waiting Staff,Rural,Facebook,-1.4826008399599595,1,Vlogs,24,2913,6,8,15,23,6,4,Entertainment,Tablet,Android,14:00:00,8,2,Commuting,Wi-Fi,14,-0.027112765090415113,0.4556990054564747,1.4482503768115096,0.44335802332601515,Afternoon,-0.02748709774714124,0.3754862013818661,0.8953736375293073,0.36697235943047446
15,0.001037721093653793,Other,Vietnam,0.17259854987172202,1,1,Cashier,Rural,Youtube,0.6625380696809959,18,Gaming,16,9381,9,13,5,46,6,4,Boredom,Tablet,Ios,14:00:00,8,2,At School,Wi-Fi,14,-0.41679041254874344,-0.18507599466851177,-0.6303637352016086,-0.4508261884596413,Afternoon,-0.5392086590345139,-0.20466041508089786,-0.9952358249846996,-0.5993402909660634
16,-1.5555439193867133,Female,Philippines,0.13896221108349338,1,1,Students,Rural,Youtube,-1.017820742871086,12,Entertainment,5,2340,7,10,11,44,6,4,Entertainment,Smartphone,Macos,14:00:00,8,2,At School,Mobile Data,14,-0.5676333728551931,-0.28609252976892524,-0.5399892085923426,-0.10927084576039912,Afternoon,-0.8384813767118259,-0.33700191855441847,-0.776505330192304,-0.11571487725153735
17,-0.14720814942828594,Female,Mexico,-1.0972364655846378,0,0,Waiting Staff,Rural,Facebook,-0.5887929609428948,12,Asmr,21,9795,5,18,15,48,5,5,Habit,Smartphone,Ios,17:00:00,7,3,At Home,Wi-Fi,17,-0.4922118927019683,0.3342415737562615,-0.4933898433094398,-0.01716603424599676,Evening,-0.6776910300369515,0.2883630208709685,-0.6800134928777538,-0.017315078743044058
18,-1.6296668546476831,Female,Brazil,-0.9465052030449066,0,0,Students,Rural,Facebook,-1.4706834015730654,11,Asmr,22,5289,2,9,29,52,6,4,Habit,Smartphone,Windows,14:00:00,8,2,At Home,Mobile Data,14,-0.6417978283391975,1.285255312154963,-0.2971076683299402,0.5393005353201844,Afternoon,-1.0266577266692625,0.8264777520890578,-0.3525515544200946,0.43132811540241733
19,0.001037721093653793,Other,Japan,-1.3485395380851628,0,0,Labor/Worker,Rural,Facebook,0.602950877746525,8,Pranks,10,597,4,1,45,8,6,4,Entertainment,Smartphone,Ios,14:00:00,8,2,At Work,Mobile Data,14,-0.0711086285131296,-0.6189227599760861,0.12369872119445469,-0.6734128162861137,Afternoon,-0.07376347758985129,-0.9647531946807705,0.11662567389997364,-1.119058340753138
20,1.483496426313051,Male,United States,-0.10424790772362326,1,1,Labor/Worker,Urban,Instagram,1.1273181667698697,7,Vlogs,23,8836,2,13,4,55,8,2,Habit,Smartphone,Macos,08:00:00,10,0,At Work,Mobile Data,8,0.1775308510586683,-0.281340738174583,-0.5894127778317849,-0.489203193257309,Morning,0.1634197470396623,-0.330367939256885,-0.8901668947835958,-0.6717834063258874
21,0.445775332659473,Male,India,-1.33989862398543,0,0,Waiting Staff,Rural,Youtube,1.6040157022456376,2,Vlogs,13,7145,3,18,49,66,5,5,Habit,Tablet,Ios,17:00:00,7,3,Commuting,Mobile Data,17,2.8891844675009453,-0.39333555040675255,2.789747256167802,-0.4508261884596413,Evening,1.3581994871937046,-0.49977944210270864,1.3322993298436911,-0.5993402909660634
22,1.038758814747232,Male,Brazil,-1.3409945447980791,0,0,Driver,Rural,Facebook,1.0081437829009277,11,Entertainment,29,2902,3,15,36,77,5,5,Boredom,Computer,Android,17:00:00,7,3,Commuting,Mobile Data,17,-0.1666425033738811,-0.5232519904193078,-0.20814524369894397,-0.4469884879798745,Evening,-0.1822925612629864,-0.7407672094852746,-0.23337729249420752,-0.5923764602802325
23,-1.6296668546476831,Female,Indonesia,1.1646597901220335,1,0,Students,Rural,Instagram,1.0796484132222928,10,Entertainment,26,6645,4,2,48,40,3,7,Boredom,Smartphone,Android,21:00:00,5,5,At Work,Mobile Data,21,-0.09750614656675831,-0.36797900733004696,0.007906358976332566,-0.6618997148468134,Night,-0.10259339939857948,-0.4588326691370013,0.00787526749296534,-1.0844127258696978
24,-0.2213310846892558,Female,India,-1.076919779750144,0,0,Waiting Staff,Urban,Facebook,-1.2204171954482872,3,Pranks,14,8955,6,11,23,85,6,4,Habit,Smartphone,Ios,14:00:00,8,2,At Home,Mobile Data,14,-0.2953618295020515,1.2223964828315306,0.41317962673975983,0.16704358878280806,Afternoon,-0.35007084125542104,0.7985861104174866,0.345842219996275,0.15447370374896305
25,0.6681441384423826,Male,Germany,0.9652443530203925,1,1,Waiting Staff,Rural,Tiktok,0.12625334227075705,10,Jokes/Memes,7,7694,3,29,15,31,6,4,Boredom,Smartphone,Android,14:00:00,8,2,At Home,Mobile Data,14,-0.29863009364202453,-0.16280197157003257,-0.45808729385269525,-0.005652932806696455,Afternoon,-0.3547198473034737,-0.1776946433701038,-0.6126503492826575,-0.005668971102185265
26,-0.8884375020379846,Male,Japan,0.25622573803694204,1,0,Labor/Worker,Urban,Tiktok,-0.18360005578849206,18,Jokes/Memes,29,4830,1,14,46,48,5,5,Entertainment,Smartphone,Android,17:00:00,7,3,At School,Wi-Fi,17,-0.515843956483312,-0.28547807395931196,-0.30840448415609845,-0.29731816926897064,Evening,-0.725348020266395,-0.3361415948322709,-0.3687540089362109,-0.3528510774850954
27,-0.14720814942828594,Male,Japan,-0.6858868036368646,0,1,Students,Rural,Youtube,1.1273181667698697,14,Gaming,20,7546,1,22,44,61,6,4,Habit,Smartphone,Android,14:00:00,8,2,Commuting,Mobile Data,14,-0.2641876177053852,-0.3350441759347784,-0.2265025694164511,-0.35104597598570536,Afternoon,-0.3067801081102818,-0.40803467050996195,-0.25683293077990005,-0.43239340605968185
28,1.483496426313051,Other,Vietnam,-1.6056594210528252,0,0,Manager,Urban,Instagram,-1.0416556196448743,18,Life Hacks,6,7368,9,15,3,52,3,7,Habit,Smartphone,Ios,21:00:00,5,5,At Home,Wi-Fi,21,-0.6164059300209452,0.5298023760958291,-0.6458968569625761,0.20542059358047576,Night,-0.9581703949582069,0.4251385611112659,-1.0381670437742623,0.18682854635796559
29,0.07516065635462366,Female,India,1.4785989521455005,1,1,Labor/Worker,Rural,Tiktok,0.3526846716217468,8,Entertainment,7,9834,9,14,32,38,6,4,Boredom,Smartphone,Macos,14:00:00,8,2,At Work,Mobile Data,14,-0.13722812611412336,-0.09278473206460608,-0.10506179928524992,-0.39709838174290657,Afternoon,-0.14760496364721223,-0.0973755164154861,-0.11100061257203302,-0.5060012493684796
30,0.2234065268765634,Male,India,-0.08612306351442739,1,0,Driver,Urban,Tiktok,-0.3981139467525876,10,Pranks,5,2160,5,16,10,91,6,4,Entertainment,Smartphone,Android,14:00:00,8,2,At Home,Wi-Fi,14,-0.40924826453342095,-0.46172448201670396,-0.5286923927661843,-0.17067405343666733,Afternoon,-0.5263594251850651,-0.6193847346960073,-0.7522443042240573,-0.18714202070785357
31,1.3352505557911114,Male,United States,-1.2631420162995097,0,1,Driver,Rural,Instagram,0.49569393226447717,13,Pranks,21,5878,9,23,40,36,8,2,Habit,Smartphone,Ios,08:00:00,10,0,At School,Wi-Fi,8,-0.33256975971097574,-0.3372869396398666,-0.23497518128606978,-0.23591496159270242,Morning,-0.40432040309947204,-0.41141317228053226,-0.2678470029185488,-0.269076189193926
32,0.29752946213753323,Male,United States,1.4941104467245334,1,0,Students,Rural,Facebook,0.6625380696809959,8,Jokes/Memes,18,7663,7,29,38,87,5,5,Habit,Smartphone,Android,17:00:00,7,3,At Home,Mobile Data,17,-0.05527011768095241,-0.2700757149983406,0.0008458490849836847,-0.15532325151760024,Evening,-0.05685623116391771,-0.31481446939471497,0.0008454915562423915,-0.168801270989092
33,-0.5919457609941051,Male,India,-1.6591487868701964,0,1,Labor/Worker,Rural,Instagram,-0.66029759126426,4,Trends,23,3749,9,15,22,55,3,7,Boredom,Tablet,Ios,21:00:00,5,5,Commuting,Mobile Data,21,-0.10253424524363995,-0.24925590398261266,0.10675349745521728,-0.09392004384133204,Night,-0.10818031560799482,-0.2866904362623239,0.10143095273825989,-0.09862772500236207
34,-0.666068696255075,Other,Mexico,-0.20157410604695644,1,0,Waiting Staff,Rural,Facebook,0.6982903848416785,4,Trends,12,2922,7,19,14,85,6,4,Entertainment,Smartphone,Android,14:00:00,8,2,At Work,Mobile Data,14,0.613969816211996,-0.5066924063502315,-0.17566689819873899,-0.34720827550593863,Afternoon,0.47869686844116194,-0.7066223772875034,-0.1931805810007734,-0.4264971523518372
35,1.7058652320959606,Female,Vietnam,-0.8366602169770824,0,1,Students,Rural,Tiktok,1.5801808254718492,5,Entertainment,6,6486,9,27,17,13,6,4,Entertainment,Tablet,Ios,14:00:00,8,2,At School,Mobile Data,14,0.7220739377649515,-0.41530234560042517,-0.18978791798143682,-0.3280197731071048,Afternoon,0.5435293422294988,-0.5366603954391818,-0.21045923593450686,-0.3975263631584148
36,1.483496426313051,Other,Mexico,1.4530555670506804,1,0,Students,Urban,Tiktok,0.8174647687106205,1,Jokes/Memes,27,8112,2,9,21,37,3,7,Procrastination,Smartphone,Android,21:00:00,5,5,At Home,Wi-Fi,21,4.825002458100383,-0.2715708908017328,2.2955115637733785,-0.5352555990145101,Night,1.7621594214431573,-0.31686496872254155,1.1925614104631759,-0.7662676998216533
37,-1.5555439193867133,Male,United States,-0.9487813462711777,0,1,Labor/Worker,Rural,Tiktok,-0.29085700127053987,17,Entertainment,1,8771,8,5,48,47,3,7,Entertainment,Tablet,Android,21:00:00,5,5,At Home,Mobile Data,21,-0.5181066008879088,0.05808465105575993,-0.27168983272108416,-0.5429309999740436,Night,-0.7300323530596879,0.056460340685120965,-0.3170282675661113,-0.7829209147454702
38,0.9646358794862621,Male,Philippines,0.443965403403822,1,0,Students,Urban,Youtube,0.5791160009727365,2,Jokes/Memes,4,3804,7,5,15,90,5,5,Boredom,Smartphone,Ios,17:00:00,7,3,At School,Wi-Fi,17,1.8081432519713891,-0.4544022169521465,0.38917389310917355,-0.5966588066907784,Evening,1.0325235005216367,-0.6058732357898542,0.32870924895937725,-0.9079724417058151
39,-1.259052178342834,Male,Brazil,-0.2922404778934223,1,1,Cashier,Rural,Youtube,-1.1965823186744988,8,Jokes/Memes,19,4878,6,11,15,71,3,7,Habit,Smartphone,Android,21:00:00,5,5,At Home,Mobile Data,21,-0.5455097386769139,0.3303295384350574,-0.40442741867844356,0.13634198494467392,Night,-0.7885787928261037,0.28542668480237937,-0.5182320146222121,0.12781431807968244
40,-0.2213310846892558,Male,Germany,-1.2515083953652353,0,0,Students,Rural,Youtube,-1.1965823186744988,7,Asmr,12,2368,5,28,1,22,5,5,Boredom,Tablet,Android,17:00:00,7,3,Commuting,Mobile Data,17,-0.5226318896971023,-0.1736880803303468,-0.6501331628973855,1.414296244707007,Evening,-0.7394673660037684,-0.1907829500254748,-1.0502026623151108,0.8814078345771637
41,-1.110806307820894,Male,Pakistan,-1.3331544959075896,0,1,Waiting Staff,Urban,Instagram,1.5920982638587433,15,Comedy,15,8093,4,20,24,39,6,4,Boredom,Smartphone,Android,14:00:00,8,2,At Work,Mobile Data,14,-0.22823671216568134,-0.35838325576992053,-0.44396627406999745,-0.4239622851012739,Afternoon,-0.2590773979517616,-0.44376412515490854,-0.5869263284236991,-0.5515821431750548
42,1.1128817500082018,Male,India,-0.276181022908065,1,0,Students,Urban,Tiktok,-1.4945182783468538,5,Asmr,3,3932,7,25,12,87,6,4,Habit,Smartphone,Android,14:00:00,8,2,At School,Mobile Data,14,-0.5751755208705156,0.8995614004607445,-0.3309981158084149,2.9992665428506813,Afternoon,-0.8560791856452608,0.6416230176615448,-0.40196840242800175,1.3861109800192746
43,-0.4436998904721654,Other,Indonesia,0.43030854404619534,1,1,Cashier,Rural,Tiktok,1.6755203325670027,2,Life Hacks,23,5608,3,24,10,58,8,2,Entertainment,Tablet,Macos,08:00:00,10,0,At Home,Mobile Data,8,2.96460594765417,-0.4525076448725057,0.036148398541728216,-0.3779098793440727,Morning,1.3774064674630742,-0.6024067806264215,0.03551037541480408,-0.4746703082239321
44,-1.4814209841257435,Female,Pakistan,0.09592624378677483,1,0,Waiting Staff,Rural,Instagram,1.3775843728946477,7,Gaming,27,6635,8,28,46,30,3,7,Entertainment,Tablet,Windows,21:00:00,5,5,At School,Mobile Data,21,0.25295233121189314,-0.3946975941180619,0.25784840913008394,-0.28964276830943714,Night,0.22550263146470614,-0.5020271013989565,0.22940264953094155,-0.34198729225474267
45,0.07516065635462366,Other,Philippines,-1.4405968863476832,0,1,Labor/Worker,Urban,Youtube,-0.9463161125497207,8,Gaming,28,6395,2,4,42,18,6,4,Boredom,Smartphone,Ios,14:00:00,8,2,Commuting,Mobile Data,14,-0.47964164600976417,0.2604044673010729,0.07145094799847275,-0.47769009181800864,Afternoon,-0.6532375624672573,0.23143267524655214,0.06901375606744174,-0.6494941734307285
46,-0.7401916315160448,Female,Pakistan,0.8235755125852592,1,0,Waiting Staff,Rural,Instagram,-0.9582335509366149,7,Comedy,26,6101,1,20,42,18,6,4,Procrastination,Smartphone,Windows,14:00:00,8,2,At Home,Mobile Data,14,-0.4509814835515387,0.23081842006819642,0.17735859636870635,0.3896302166092804,Afternoon,-0.5996231104485431,0.20767933028502258,0.1632734516877022,0.32903768053367416
47,-1.110806307820894,Male,Vietnam,-1.5545726508631847,0,1,Labor/Worker,Rural,Youtube,-0.5053708922346354,7,Trends,20,9292,2,18,31,74,5,5,Procrastination,Smartphone,Macos,17:00:00,7,3,At School,Mobile Data,17,-0.3144686044742017,0.22383410569892612,-0.04434141421964936,-0.05938073952343112,Evening,-0.3775609815744125,0.20198864034479505,-0.04535455756089281,-0.0612168328824428
48,0.1492835916155935,Male,Japan,0.05314318129297528,1,1,Students,Rural,Tiktok,-1.4706834015730654,14,Pranks,28,9862,9,25,11,39,3,7,Entertainment,Tablet,Android,21:00:00,5,5,At Work,Mobile Data,21,-0.6556250997006221,2.9578142668523086,-0.5583465343098497,2.7344652097467748,Night,-1.0660243885867884,1.375691920069286,-0.8172297186800426,1.3176046248649835
49,-1.6296668546476831,Female,India,-0.8785581126606654,0,1,Students,Rural,Facebook,-1.4945182783468538,18,Trends,8,5531,5,3,16,94,6,4,Boredom,Tablet,Android,14:00:00,8,2,At School,Wi-Fi,14,-0.6697037759958907,1.5293786053142953,-0.544225514527152,-0.25126576351176944,Afternoon,-1.1077653786697845,0.9279736620245091,-0.7857571411992891,-0.2893711828782972
50,-0.2954540199502257,Male,United States,0.44265872858874045,1,1,Students,Urban,Youtube,1.2345751122519175,6,Life Hacks,11,4970,8,4,9,26,5,5,Procrastination,Smartphone,Ios,17:00:00,7,3,At Home,Mobile Data,17,0.36256488236791323,-0.4495889797768429,-0.45808729385269525,-0.6311981110086793,Evening,0.3093688665080036,-0.5970899703556739,-0.6126503492826575,-0.9974956653189959
51,0.29752946213753323,Female,United States,-0.9961166952175196,0,0,Waiting Staff,Rural,Tiktok,1.2941623041863883,4,Entertainment,16,6344,3,14,47,71,5,5,Entertainment,Tablet,Windows,17:00:00,7,3,At Home,Wi-Fi,17,0.9282259835170994,-0.399306012690161,0.9893172338738306,-0.4853654927775422,Evening,0.6566004006874284,-0.5096696466486669,0.6877914813087613,-0.6642983249845816
52,1.7058652320959606,Other,Mexico,0.32771349566204944,1,1,Driver,Rural,Tiktok,-0.7318022215856251,10,Entertainment,9,8408,7,7,14,7,6,4,Entertainment,Tablet,Ios,14:00:00,8,2,At Home,Mobile Data,14,-0.47964164600976417,0.3075434688285671,-0.4722083136353931,-0.3932606812631398,Afternoon,-0.6532375624672573,0.26815016216229914,-0.6390536065250201,-0.49965603858994256
53,-1.259052178342834,Male,Germany,-0.9463365998429606,0,0,Students,Rural,Facebook,-1.2323346338351815,18,Pranks,3,375,2,26,19,69,6,4,Boredom,Tablet,Macos,14:00:00,8,2,Commuting,Mobile Data,14,-0.6387809691330686,-0.569182562187896,-0.5202197808965656,1.3874323413486398,Afternoon,-1.0182707709343208,-0.8420708567751313,-0.7344271568056677,0.8702184542690592
54,1.483496426313051,Male,Vietnam,-0.37270635602215463,1,0,Driver,Rural,Tiktok,-1.268086948995864,12,Trends,5,7887,8,8,31,65,5,5,Procrastination,Computer,Android,17:00:00,7,3,At Work,Mobile Data,17,-0.6116292362779077,1.1457123977918007,-0.30558028019955885,-0.009490633286463223,Evening,-0.9457948190282094,0.7634716174229386,-0.3646787177090932,-0.009535956337475289
55,-1.184929243081864,Other,India,-1.0636844283973823,0,0,Cashier,Rural,Tiktok,0.6506206312941017,16,Life Hacks,20,1609,7,24,9,46,6,4,Habit,Smartphone,Ios,14:00:00,8,2,At Home,Mobile Data,14,-0.38209653167826,-0.5691928031180562,-0.5908248798100546,-0.2435903625522359,Afternoon,-0.48142303385159096,-0.8420946279853505,-0.8936120478529677,-0.2791722010736037
56,1.7058652320959606,Male,Japan,-1.3318478210925082,0,0,Manager,Rural,Youtube,0.18584053420522803,7,Life Hacks,14,2939,5,16,36,18,3,7,Boredom,Smartphone,Android,21:00:00,5,5,At Home,Wi-Fi,21,-0.10605391431745713,-0.4689545787098195,0.05591782623750512,-0.324182072627338,Night,-0.11210981246994689,-0.6329077222455807,0.05441036619327415,-0.39183157742334307
